"RM Item Desc","Date","Amount (in Rs. Crore)","Prompts_Time1","Sequence"
"RM1.3) Bankers' deposits with RBI ","2002/02/22 00:00:00","70345","2002 -02-22","1153"
"RM1.3) Bankers' deposits with RBI ","2002/03/01 00:00:00","73643","2002 -03-01","1153"
"RM1.3) Bankers' deposits with RBI ","2002/03/08 00:00:00","68446","2002 -03-08","1153"
"RM1.3) Bankers' deposits with RBI ","2002/03/15 00:00:00","74591","2002 -03-15","1153"
"RM1.3) Bankers' deposits with RBI ","2002/03/22 00:00:00","67791","2002 -03-22","1153"
"RM1.3) Bankers' deposits with RBI ","2002/03/29 00:00:00","78904","2002 -03-29","1153"
"RM1.3) Bankers' deposits with RBI ","2002/04/05 00:00:00","64940","2002 -04-05","1153"
"RM1.3) Bankers' deposits with RBI ","2002/04/12 00:00:00","70850","2002 -04-12","1153"
"RM1.3) Bankers' deposits with RBI ","2002/04/19 00:00:00","80657","2002 -04-19","1153"
"RM1.3) Bankers' deposits with RBI ","2002/04/26 00:00:00","73542","2002 -04-26","1153"
"RM1.3) Bankers' deposits with RBI ","2002/05/03 00:00:00","79054","2002 -05-03","1153"
"RM1.3) Bankers' deposits with RBI ","2002/05/10 00:00:00","73664","2002 -05-10","1153"
"RM1.3) Bankers' deposits with RBI ","2002/05/17 00:00:00","77375","2002 -05-17","1153"
"RM1.3) Bankers' deposits with RBI ","2002/05/24 00:00:00","79532","2002 -05-24","1153"
"RM1.3) Bankers' deposits with RBI ","2002/05/31 00:00:00","69023","2002 -05-31","1153"
"RM1.3) Bankers' deposits with RBI ","2002/06/07 00:00:00","68604","2002 -06-07","1153"
"RM1.3) Bankers' deposits with RBI ","2002/06/14 00:00:00","71321","2002 -06-14","1153"
"RM1.3) Bankers' deposits with RBI ","2002/06/21 00:00:00","69538","2002 -06-21","1153"
"RM1.3) Bankers' deposits with RBI ","2002/06/28 00:00:00","60275","2002 -06-28","1153"
"RM1.3) Bankers' deposits with RBI ","2002/07/05 00:00:00","71830","2002 -07-05","1153"
"RM1.3) Bankers' deposits with RBI ","2002/07/12 00:00:00","78807","2002 -07-12","1153"
"RM1.3) Bankers' deposits with RBI ","2002/07/19 00:00:00","64462","2002 -07-19","1153"
"RM1.3) Bankers' deposits with RBI ","2002/07/26 00:00:00","76947","2002 -07-26","1153"
"RM1.3) Bankers' deposits with RBI ","2002/08/02 00:00:00","68198","2002 -08-02","1153"
"RM1.3) Bankers' deposits with RBI ","2002/08/09 00:00:00","75325","2002 -08-09","1153"
